노드번호	갈수있는 노드	epsg3857	placeCode
150	"151,152"	"14096660.519821588,4491658.162987813"	-
151	0	"14096650.668046657,4491646.213914828"	"SP,SMK15"
152	"153,175,521"	"14096689.18459047,4491633.074152719"	CAFECT
153	"154,478,521"	"14096698.446372103,4491627.694979796"	-
154	"477,504,155,494"	"14096744.131891128,4491590.671215862"	-
155	"157,156,494,501,504,168,0"	"14096792.48907793,4491550.355665183"	-
156	"494,501,502,159,157"	"14096815.175990153,4491530.057866558"	"CAFECDLIB,ILB"
157	"159,167,502"	"14096777.550002266,4491503.484479325"	-
158	"159,163,164,165,167,166,525,0"	"14096753.660839539,4491476.911159297"	-
159	"502,164,165"	"14096777.550002266,4491477.807675062"	SH
160	"162,525,164"	"14096827.71056481,4491424.367064329"	SH
161	"249,445"	"14096859.803974006,4491381.978977658"	-
162	525	"14096810.990377296,4491402.43057777"	SH
163	"164,165"	"14096749.018816773,4491435.587468836"	SH
164	"165,502,525"	"14096766.340129536,4491454.694402462"	-
165	"166,503,384"	"14096738.866479214,4491444.244418329"	-
166	"170,384,479,235"	"14096710.201710332,4491462.160684355"	-
167	168	"14096750.811060566,4491506.047960775"	-
168	"169,523"	"14096748.12826084,4491544.864469415"	-
169	"170,477,476,171,523"	"14096704.535548251,4491538.896999717"	-
170	"446,384"	"14096669.314061362,4491492.0118569005"	-
171	"173,476"	"14096686.624242183,4491558.60647238"	SM
172	"446,447"	"14096659.462286431,4491499.47816531"	SM
173	"174,175,478"	"14096657.9817372,4491575.766491124"	-
174	"176,204"	"14096620.956874568,4491526.205631772"	-
175	"178,176"	"14096648.875802856,4491584.129383886"	-
176	"177,516,179"	"14096610.804537002,4491534.568485085"	-
177	0	"14096599.160518263,4491529.343452003"	"SP,CONGSLBR"
178	448	"14096620.055186685,4491589.676633006"	SP
179	483	"14096588.707618084,4491551.1541301105"	SP
180	"181,473"	"14096600.652199443,4491621.923578573"	-
181	"182,183,474"	"14096591.69098043,4491608.335583363"	-
182	448	"14096603.034436543,4491592.212119058"	-
183	"184,483"	"14096562.725648928,4491567.123441445"	-
184	"186,202"	"14096544.513780233,4491545.480827982"	-
185	"186,187,401"	"14096523.162701901,4491548.310474586"	OFBK16
186	"188,202"	"14096537.790082987,4491536.515616043"	-
187	"188,196"	"14096493.896807771,4491510.082293503"	"OFBK16,SMK16"
188	"199,205"	"14096508.379473526,4491498.735736655"	-
189	"190,196,371,372"	"14096457.02779242,4491488.28570872"	-
190	"191,371,372"	"14096450.760505084,4491480.525238937"	ST
191	"195,193"	"14096436.578401957,4491461.418258339"	-
192	"370,371,340"	"14096409.405314263,4491464.556059219"	ST
193	194	"14096427.917745579,4491449.329328882"	ST
194	"195,449,338"	"14096440.162889566,4491438.879350085"	-
195	"196,451"	"14096451.20578305,4491450.2258422915"	-
196	199	"14096470.90933292,4491478.886295691"	-
197	"449,450"	"14096464.341482963,4491408.706145236"	ISC
198	"199,210,451"	"14096474.493820522,4491449.315320861"	-
199	200	"14096484.04503284,4491465.144396987"	-
200	0	"14096496.590739448,4491457.9722816665"	SQ
201	202	"14096552.361804333,4491520.644408045"	SQ
202	"516,483"	"14096556.53628524,4491527.8025580235"	-
203	"206,516,204"	"14096576.23983511,4491506.90245473"	-
204	"207,447,516"	"14096597.145635482,4491493.174527464"	-
205	206	"14096533.12579633,4491481.687908232"	SQ
206	"207,209"	"14096555.356298644,4491474.067523865"	-
207	"217,218,215"	"14096571.475360904,4491459.737293966"	-
208	209	"14096519.52255455,4491441.821032073"	SQ
209	"210,215,481,216"	"14096527.29265501,4491436.455965066"	-
