순번	대학(원)	학과(부)	학년	이수구분	학수번호	교과목명	교과목명(영문)	담당교수	강의실	시간표	수업방법관리	Teaching Method	학점
1346	사범대학	유아교육과	2	전공필수	0001314001	유아과학교육	Science in Early Childhood Education	안효진	미추홀타워  별관A동-205 강의실[NC205]	" [NC205:목(4-5A),금(2B-3)]"	온라인(동영상+화상)+오프라인	online + offline class	3
1347	사범대학	유아교육과	2	전공선택	0001307001	유아사회교육	Social Studies in Early Childhood Education	황성온	미추홀타워  별관A동-103 활동실[NC103]	" [NC103:수(7-8A),금(5B-6)]"	온라인(동영상+화상)+오프라인	online + offline class	3
1348	사범대학	유아교육과	2	전공선택	0001308001	유아수학교육	Mathematics in Early Childhood Education	김상림	미추홀타워  별관A동-103 활동실[NC103]	" [NC103:수(5B-6),목(5B-6)]"	온라인(동영상+화상)+오프라인	online + offline class	3
1349	사범대학	유아교육과	2	전공선택	0001310001	아동건강교육	Health Education for Young Children	정윤주	미추홀타워  별관A동-307 수업행동분석실[NC307]	" [NC307:월(4-5A),수(4-5A)]"	온라인(동영상+화상)+오프라인	online + offline class	3
1350	사범대학	유아교육과	3	전공필수	0001317001	유아교과교육론	Instructional Principles on Subject Areas	이효정	미추홀타워  별관A동-103 활동실[NC103]	 [NC103:화(2)(3)(4)]	온라인(동영상+화상)+오프라인	online + offline class	3
1351	사범대학	유아교육과	3	전공필수	0001318001	유아교육과정	Program and Curriculum Development in Early Childhood Education	안효진	"미추홀타워  별관A동-307 수업행동분석실[NC307], 미추홀타워  별관A동-309 강의실[NC309]"	 [NC307:수(2B-3)] [NC309:금(5B-6)]	온라인(동영상+화상)+오프라인	online + offline class	3
1352	사범대학	유아교육과	3	전공선택	0001321001	유아교육현장의실제	Practice in Early Childhood Education	오주은	미추홀타워  별관A동-103 활동실[NC103]	 [NC103:금(1)(2)(3)(4)]	온라인(동영상+화상)+오프라인	online + offline class	3
1353	사범대학	유아교육과	3	전공선택	0007843001	영유아교수방법론	Method of Teaching for Young Children	이현정	미추홀타워  별관A동-103 활동실[NC103]	 [NC103:월(3)(4)(5)]	온라인(동영상+화상)+오프라인	online + offline class	3
1354	사범대학	유아교육과	3	전공선택	0010592001	유아생활지도및상담	Guidance and Counseling in Early Childhood Education	정윤주	"미추홀타워  별관A동-205 강의실[NC205], 미추홀타워  별관A동-307 수업행동분석실[NC307]"	 [NC205:수(7-8A)] [NC307:월(7-8A)]	온라인(동영상+화상)+오프라인	online + offline class	3
1355	사범대학	유아교육과	4	전공필수	0003514001	유아교과교재연구및지도법	Development and Guidance Materials	김성희	미추홀타워  별관A동-103 활동실[NC103]	 [NC103:월(6)(7)(8)]	온라인(동영상+화상)+오프라인	online + offline class	3
1356	사범대학	유아교육과	4	전공선택	0001333001	부모교육	Parent Education	이시자	"미추홀타워  별관A동-205 강의실[NC205], 미추홀타워  별관A동-309 강의실[NC309]"	 [NC205:목(5B-6)] [NC309:화(5B-6)]	온라인(동영상+화상)+오프라인	online + offline class	3
